Line,Purpose,Trait,Field_experiment
2MS16_4142-034,Experimental,DON_high_Vg,FHB
2MS16_4142-035,Experimental,DON_high_Vg,FHB
2MS16_4142-036,Experimental,DON_high_Vg,FHB
2MS16_4142-037,Experimental,DON_high_Vg,FHB
2MS16_4142-038,Experimental,DON_high_Vg,FHB
2MS16_4142-039,Experimental,DON_high_Vg,FHB
2MS16_4142-040,Experimental,DON_high_Vg,FHB
2MS16_4142-041,Experimental,DON_high_Vg,FHB
2MS16_4142-042,Experimental,DON_high_Vg,FHB
2MS16_4142-043,Experimental,DON_high_Vg,FHB
2MS16_4142-044,Experimental,DON_high_Vg,FHB
2MS16_4142-045,Experimental,DON_high_Vg,FHB
2MS16_4142-046,Experimental,DON_high_Vg,FHB
2MS16_4142-047,Experimental,DON_high_Vg,FHB
2MS16_4142-048,Experimental,DON_high_Vg,FHB
2MS16_4142-049,Experimental,DON_high_Vg,FHB
2MS16_4142-050,Experimental,DON_high_Vg,FHB
2MS16_4142-051,Experimental,DON_high_Vg,FHB
2MS16_4142-052,Experimental,DON_high_Vg,FHB
2MS16_4142-053,Experimental,DON_high_Vg,FHB
2MS16_4142-054,Experimental,DON_high_Vg,FHB
2MS16_4142-055,Experimental,DON_high_Vg,FHB
2MS16_4142-056,Experimental,DON_high_Vg,FHB
2MS16_4142-057,Experimental,DON_high_Vg,FHB
2MS16_4142-058,Experimental,DON_high_Vg,FHB
2MS16_4142-059,Experimental,DON_high_Vg,FHB
2MS16_4142-060,Experimental,DON_high_Vg,FHB
2MS16_4142-061,Experimental,DON_high_Vg,FHB
2MS16_4142-062,Experimental,DON_high_Vg,FHB
2MS16_4142-063,Experimental,DON_high_Vg,FHB
2MS16_4142-064,Experimental,DON_high_Vg,FHB
2MS16_4142-065,Experimental,DON_high_Vg,FHB
2MS16_4142-066,Experimental,DON_high_Vg,FHB
2MS16_4142-067,Experimental,DON_high_Vg,FHB
2MS16_4142-068,Experimental,DON_high_Vg,FHB
2MS16_4142-069,Experimental,DON_high_Vg,FHB
2MS16_4142-070,Experimental,DON_high_Vg,FHB
2MS16_4142-071,Experimental,DON_high_Vg,FHB
2MS16_4142-072,Experimental,DON_high_Vg,FHB
2MS16_4142-073,Experimental,DON_high_Vg,FHB
2MS16_4142-074,Experimental,DON_high_Vg,FHB
2MS16_4142-075,Experimental,DON_high_Vg,FHB
2MS16_4142-076,Experimental,DON_high_Vg,FHB
2MS16_4142-077,Experimental,DON_high_Vg,FHB
2MS16_4142-078,Experimental,DON_high_Vg,FHB
2MS16_4142-079,Experimental,DON_high_Vg,FHB
2MS16_4142-080,Experimental,DON_high_Vg,FHB
2MS16_4142-081,Experimental,DON_high_Vg,FHB
2MS16_4142-082,Experimental,DON_high_Vg,FHB
2MS16_4142-083,Experimental,DON_high_Vg,FHB
2MS16_4142-084,Experimental,DON_high_Vg,FHB
2MS16_4142-085,Experimental,DON_high_Vg,FHB
2MS16_4142-086,Experimental,DON_high_Vg,FHB
2MS16_4142-087,Experimental,DON_high_Vg,FHB
2MS16_4142-088,Experimental,DON_high_Vg,FHB
2MS16_4142-089,Experimental,DON_high_Vg,FHB
2MS16_4142-090,Experimental,DON_high_Vg,FHB
2MS16_4142-091,Experimental,DON_high_Vg,FHB
2MS16_4142-092,Experimental,DON_high_Vg,FHB
2MS16_4142-093,Experimental,DON_high_Vg,FHB
2MS16_4142-094,Experimental,DON_high_Vg,FHB
2MS16_4142-095,Experimental,DON_high_Vg,FHB
2MS16_4142-096,Experimental,DON_high_Vg,FHB
2MS16_4142-097,Experimental,DON_high_Vg,FHB
2MS16_4142-098,Experimental,DON_high_Vg,FHB
2MS16_4142-099,Experimental,DON_high_Vg,FHB
2MS16_4142-100,Experimental,DON_high_Vg,FHB
2MS16_4142-101,Experimental,DON_high_Vg,FHB
2MS16_4142-102,Experimental,DON_high_Vg,FHB
2MS16_4142-103,Experimental,DON_high_Vg,FHB
2MS16_4142-104,Experimental,DON_high_Vg,FHB
2MS16_4142-105,Experimental,DON_high_Vg,FHB
2MS16_4142-106,Experimental,DON_high_Vg,FHB
2MS16_4142-107,Experimental,DON_high_Vg,FHB
2MS16_4142-108,Experimental,DON_high_Vg,FHB
2MS16_4142-109,Experimental,DON_high_Vg,FHB
2MS16_4142-110,Experimental,DON_high_Vg,FHB
2MS16_4142-111,Experimental,DON_high_Vg,FHB
2MS16_4142-112,Experimental,DON_high_Vg,FHB
2MS16_4142-113,Experimental,DON_high_Vg,FHB
2MS16_4142-114,Experimental,DON_high_Vg,FHB
2MS16_4142-115,Experimental,DON_high_Vg,FHB
2MS16_4142-116,Experimental,DON_high_Vg,FHB
2MS16_4142-117,Experimental,DON_high_Vg,FHB
2MS16_4142-118,Experimental,DON_high_Vg,FHB
2MS16_4143-001,Experimental,DON_high_Vg,FHB
2MS16_4143-002,Experimental,DON_high_Vg,FHB
2MS16_4143-003,Experimental,DON_high_Vg,FHB
2MS16_4143-004,Experimental,DON_high_Vg,FHB
2MS16_4143-005,Experimental,DON_high_Vg,FHB
2MS16_4143-006,Experimental,DON_high_Vg,FHB
2MS16_4143-007,Experimental,DON_high_Vg,FHB
2MS16_4143-008,Experimental,DON_high_Vg,FHB
2MS16_4143-009,Experimental,DON_high_Vg,FHB
2MS16_4143-010,Experimental,DON_high_Vg,FHB
2MS16_4143-011,Experimental,DON_high_Vg,FHB
2MS16_4143-012,Experimental,DON_high_Vg,FHB
2MS16_4143-013,Experimental,DON_high_Vg,FHB
2MS16_4143-014,Experimental,DON_high_Vg,FHB
2MS16_4143-015,Experimental,DON_high_Vg,FHB
2MS16_4143-016,Experimental,DON_high_Vg,FHB
2MS16_4143-017,Experimental,DON_high_Vg,FHB
2MS16_4143-018,Experimental,DON_high_Vg,FHB
2MS16_4143-019,Experimental,DON_high_Vg,FHB
2MS16_4143-020,Experimental,DON_high_Vg,FHB
2MS16_4143-021,Experimental,DON_high_Vg,FHB
2MS16_4143-022,Experimental,DON_high_Vg,FHB
2MS16_4143-023,Experimental,DON_high_Vg,FHB
2MS16_4143-024,Experimental,DON_high_Vg,FHB
2MS16_4143-025,Experimental,DON_high_Vg,FHB
2MS16_4143-026,Experimental,DON_high_Vg,FHB
2MS16_4143-027,Experimental,DON_high_Vg,FHB
2MS16_4143-028,Experimental,DON_high_Vg,FHB
2MS16_4143-029,Experimental,DON_high_Vg,FHB
2MS16_4143-030,Experimental,DON_high_Vg,FHB
2MS16_4143-031,Experimental,DON_high_Vg,FHB
2MS16_4143-032,Experimental,DON_high_Vg,FHB
2MS16_4143-033,Experimental,DON_high_Vg,FHB
2MS16_4143-034,Experimental,DON_high_Vg,FHB
2MS16_4143-035,Experimental,DON_high_Vg,FHB
2MS16_4143-036,Experimental,DON_high_Vg,FHB
2MS16_4143-037,Experimental,DON_high_Vg,FHB
2MS16_4143-038,Experimental,DON_high_Vg,FHB
2MS16_4143-039,Experimental,DON_high_Vg,FHB
2MS16_4143-040,Experimental,DON_high_Vg,FHB
2MS16_4143-041,Experimental,DON_high_Vg,FHB
2MS16_4143-042,Experimental,DON_high_Vg,FHB
2MS16_4143-043,Experimental,DON_high_Vg,FHB
2MS16_4143-044,Experimental,DON_high_Vg,FHB
2MS16_4143-045,Experimental,DON_high_Vg,FHB
2MS16_4143-046,Experimental,DON_high_Vg,FHB
2MS16_4143-047,Experimental,DON_high_Vg,FHB
2MS16_4143-048,Experimental,DON_high_Vg,FHB
2MS16_4143-049,Experimental,DON_high_Vg,FHB
2MS16_4143-050,Experimental,DON_high_Vg,FHB
2MS16_4143-051,Experimental,DON_high_Vg,FHB
2MS16_4143-052,Experimental,DON_high_Vg,FHB
2MS16_4143-053,Experimental,DON_high_Vg,FHB
2MS16_4143-054,Experimental,DON_high_Vg,FHB
2MS16_4143-055,Experimental,DON_high_Vg,FHB
2MS16_4143-056,Experimental,DON_high_Vg,FHB
2MS16_4143-057,Experimental,DON_high_Vg,FHB
2MS16_4143-058,Experimental,DON_high_Vg,FHB
2MS16_4143-059,Experimental,DON_high_Vg,FHB
2MS16_4143-060,Experimental,DON_high_Vg,FHB
2MS16_4143-061,Experimental,DON_high_Vg,FHB
2MS16_4143-062,Experimental,DON_high_Vg,FHB
2MS16_4143-063,Experimental,DON_high_Vg,FHB
2MS16_4143-064,Experimental,DON_high_Vg,FHB
2MS16_4143-065,Experimental,DON_high_Vg,FHB
2MS16_4143-066,Experimental,DON_high_Vg,FHB
2MS16_4143-067,Experimental,DON_high_Vg,FHB
2MS16_4143-068,Experimental,DON_high_Vg,FHB
2MS16_4143-069,Experimental,DON_high_Vg,FHB
2MS16_4143-070,Experimental,DON_high_Vg,FHB
2MS16_4143-071,Experimental,DON_high_Vg,FHB
2MS16_4143-072,Experimental,DON_high_Vg,FHB
2MS16_4143-073,Experimental,DON_high_Vg,FHB
2MS16_4143-074,Experimental,DON_high_Vg,FHB
2MS16_4143-075,Experimental,DON_high_Vg,FHB
2MS16_4143-076,Experimental,DON_high_Vg,FHB
2MS16_4143-077,Experimental,DON_high_Vg,FHB
2MS16_4143-078,Experimental,DON_high_Vg,FHB
2MS16_4143-079,Experimental,DON_high_Vg,FHB
2MS16_4143-080,Experimental,DON_high_Vg,FHB
2MS16_4143-081,Experimental,DON_high_Vg,FHB
2MS16_4143-082,Experimental,DON_high_Vg,FHB
2MS16_4143-083,Experimental,DON_high_Vg,FHB
2MS16_4143-084,Experimental,DON_high_Vg,FHB
2MS16_4143-085,Experimental,DON_high_Vg,FHB
2MS16_4143-086,Experimental,DON_high_Vg,FHB
2MS16_4143-087,Experimental,DON_high_Vg,FHB
2MS16_4143-088,Experimental,DON_high_Vg,FHB
2MS16_4143-089,Experimental,DON_high_Vg,FHB
2MS16_4143-090,Experimental,DON_high_Vg,FHB
2MS16_4145-001,Experimental,DON_high_Vg,FHB
2MS16_4145-002,Experimental,DON_high_Vg,FHB
2MS16_4145-003,Experimental,DON_high_Vg,FHB
2MS16_4145-004,Experimental,DON_high_Vg,FHB
2MS16_4145-005,Experimental,DON_high_Vg,FHB
2MS16_4145-006,Experimental,DON_high_Vg,FHB
2MS16_4145-007,Experimental,DON_high_Vg,FHB
2MS16_4145-008,Experimental,DON_high_Vg,FHB
2MS16_4145-009,Experimental,DON_high_Vg,FHB
2MS16_4145-010,Experimental,DON_high_Vg,FHB
2MS16_4145-011,Experimental,DON_high_Vg,FHB
2MS16_4145-012,Experimental,DON_high_Vg,FHB
2MS16_4145-013,Experimental,DON_high_Vg,FHB
2MS16_4145-014,Experimental,DON_high_Vg,FHB
2MS16_4145-015,Experimental,DON_high_Vg,FHB
2MS16_4145-016,Experimental,DON_high_Vg,FHB
2MS16_4145-017,Experimental,DON_high_Vg,FHB
2MS16_4145-018,Experimental,DON_high_Vg,FHB
2MS16_4145-019,Experimental,DON_high_Vg,FHB
2MS16_4145-020,Experimental,DON_high_Vg,FHB
2MS16_4145-021,Experimental,DON_high_Vg,FHB
2MS16_4145-022,Experimental,DON_high_Vg,FHB
2MS16_4145-023,Experimental,DON_high_Vg,FHB
2MS16_4145-024,Experimental,DON_high_Vg,FHB
2MS16_4145-025,Experimental,DON_high_Vg,FHB
2MS16_4145-026,Experimental,DON_high_Vg,FHB
2MS16_4145-027,Experimental,DON_high_Vg,FHB
2MS16_4145-028,Experimental,DON_high_Vg,FHB
2MS16_4145-029,Experimental,DON_high_Vg,FHB
2MS16_4145-030,Experimental,DON_high_Vg,FHB
2MS16_4145-031,Experimental,DON_high_Vg,FHB
2MS16_4145-032,Experimental,DON_high_Vg,FHB
2MS16_4145-033,Experimental,DON_high_Vg,FHB
2MS16_4145-034,Experimental,DON_high_Vg,FHB
2MS16_4145-035,Experimental,DON_high_Vg,FHB
2MS16_4145-036,Experimental,DON_high_Vg,FHB
2MS16_4145-037,Experimental,DON_high_Vg,FHB
2MS16_4145-038,Experimental,DON_high_Vg,FHB
2MS16_4145-039,Experimental,DON_high_Vg,FHB
2MS16_4145-040,Experimental,DON_high_Vg,FHB
2MS16_4145-041,Experimental,DON_high_Vg,FHB
2MS16_4145-042,Experimental,DON_high_Vg,FHB
2MS16_4145-043,Experimental,DON_high_Vg,FHB
2MS16_4145-044,Experimental,DON_high_Vg,FHB
2MS16_4145-045,Experimental,DON_high_Vg,FHB
2MS16_4145-046,Experimental,DON_high_Vg,FHB
2MS16_4145-047,Experimental,DON_high_Vg,FHB
2MS16_4145-048,Experimental,DON_high_Vg,FHB
2MS16_4145-049,Experimental,DON_high_Vg,FHB
2MS16_4145-050,Experimental,DON_high_Vg,FHB
2MS16_4145-051,Experimental,DON_high_Vg,FHB
2MS16_4145-052,Experimental,DON_high_Vg,FHB
2MS16_4145-053,Experimental,DON_high_Vg,FHB
2MS16_4145-054,Experimental,DON_high_Vg,FHB
2MS16_4145-055,Experimental,DON_high_Vg,FHB
2MS16_4145-056,Experimental,DON_high_Vg,FHB
2MS16_4145-057,Experimental,DON_high_Vg,FHB
2MS16_4145-058,Experimental,DON_high_Vg,FHB
2MS16_4145-059,Experimental,DON_high_Vg,FHB
2MS16_4145-060,Experimental,DON_high_Vg,FHB
2MS16_4145-061,Experimental,DON_high_Vg,FHB
2MS16_4145-062,Experimental,DON_high_Vg,FHB
2MS16_4145-063,Experimental,DON_high_Vg,FHB
2MS16_4145-064,Experimental,DON_high_Vg,FHB
2MS16_4145-065,Experimental,DON_high_Vg,FHB
2MS16_4145-066,Experimental,DON_high_Vg,FHB
2MS16_4145-067,Experimental,DON_high_Vg,FHB
2MS16_4145-068,Experimental,DON_high_Vg,FHB
2MS16_4145-069,Experimental,DON_high_Vg,FHB
2MS16_4145-070,Experimental,DON_high_Vg,FHB
2MS16_4145-071,Experimental,DON_high_Vg,FHB
2MS16_4145-072,Experimental,DON_high_Vg,FHB
2MS16_4145-073,Experimental,DON_high_Vg,FHB
2MS16_4145-074,Experimental,DON_high_Vg,FHB
2MS16_4145-075,Experimental,DON_high_Vg,FHB
2MS16_4145-076,Experimental,DON_high_Vg,FHB
2MS16_4145-077,Experimental,DON_high_Vg,FHB
2MS16_4145-078,Experimental,DON_high_Vg,FHB
2MS16_4145-079,Experimental,DON_high_Vg,FHB
2MS16_4145-080,Experimental,DON_high_Vg,FHB
2MS16_4145-081,Experimental,DON_high_Vg,FHB
2MS16_4145-082,Experimental,DON_high_Vg,FHB
2MS16_4145-083,Experimental,DON_high_Vg,FHB
2MS16_4145-084,Experimental,DON_high_Vg,FHB
2MS16_4145-085,Experimental,DON_high_Vg,FHB
2MS16_4145-086,Experimental,DON_high_Vg,FHB
2MS16_4145-087,Experimental,DON_high_Vg,FHB
2MS16_4145-088,Experimental,DON_high_Vg,FHB
2MS16_4145-089,Experimental,DON_high_Vg,FHB
2MS16_4145-090,Experimental,DON_high_Vg,FHB
2MS16_4145-091,Experimental,DON_high_Vg,FHB
2MS16_4145-092,Experimental,DON_high_Vg,FHB
2MS16_4145-093,Experimental,DON_high_Vg,FHB
2MS16_4145-094,Experimental,DON_high_Vg,FHB
2MS16_4145-095,Experimental,DON_high_Vg,FHB
2MS16_4145-096,Experimental,DON_high_Vg,FHB
2MS16_4145-097,Experimental,DON_high_Vg,FHB
2MS16_4145-098,Experimental,DON_high_Vg,FHB
2MS16_4145-099,Experimental,DON_high_Vg,FHB
2MS16_4145-100,Experimental,DON_high_Vg,FHB
2MS16_4145-101,Experimental,DON_high_Vg,FHB
2MS16_4145-102,Experimental,DON_high_Vg,FHB
2MS16_4145-103,Experimental,DON_high_Vg,FHB
2MS16_4145-104,Experimental,DON_high_Vg,FHB
2MS16_4145-105,Experimental,DON_high_Vg,FHB
2MS16_4145-106,Experimental,DON_high_Vg,FHB
2MS16_4145-107,Experimental,DON_high_Vg,FHB
2MS16_4145-108,Experimental,DON_high_Vg,FHB
2MS16_4145-109,Experimental,DON_high_Vg,FHB
2MS16_4145-110,Experimental,DON_high_Vg,FHB
2MS16_4145-111,Experimental,DON_high_Vg,FHB
2MS16_4145-112,Experimental,DON_high_Vg,FHB
2MS16_4145-113,Experimental,DON_high_Vg,FHB
2MS16_4145-114,Experimental,DON_high_Vg,FHB
2MS16_4145-115,Experimental,DON_high_Vg,FHB
2MS16_4145-116,Experimental,DON_high_Vg,FHB
2MS16_4145-117,Experimental,DON_high_Vg,FHB
2MS16_4145-118,Experimental,DON_high_Vg,FHB
2MS16_4145-119,Experimental,DON_high_Vg,FHB
2MS16_4145-120,Experimental,DON_high_Vg,FHB
2MS16_4145-121,Experimental,DON_high_Vg,FHB
2MS16_4145-122,Experimental,DON_high_Vg,FHB
2MS16_4145-123,Experimental,DON_high_Vg,FHB
2MS16_4145-124,Experimental,DON_high_Vg,FHB
2MS16_4145-125,Experimental,DON_high_Vg,FHB
2MS16_4145-126,Experimental,DON_high_Vg,FHB
2MS16_4145-127,Experimental,DON_high_Vg,FHB
2MS16_4145-128,Experimental,DON_high_Vg,FHB
2MS16_4145-129,Experimental,DON_high_Vg,FHB
2MS16_4145-130,Experimental,DON_high_Vg,FHB
2MS16_4145-131,Experimental,DON_high_Vg,FHB
2MS16_4159-001,Experimental,HD_DON_no_corr,FHB
2MS16_4159-002,Experimental,HD_DON_no_corr,FHB
2MS16_4159-003,Experimental,HD_DON_no_corr,FHB
2MS16_4159-004,Experimental,HD_DON_no_corr,FHB
2MS16_4159-005,Experimental,HD_DON_no_corr,FHB
2MS16_4159-006,Experimental,HD_DON_no_corr,FHB
2MS16_4159-007,Experimental,HD_DON_no_corr,FHB
2MS16_4159-008,Experimental,HD_DON_no_corr,FHB
2MS16_4159-009,Experimental,HD_DON_no_corr,FHB
2MS16_4159-010,Experimental,HD_DON_no_corr,FHB
2MS16_4159-011,Experimental,HD_DON_no_corr,FHB
2MS16_4159-012,Experimental,HD_DON_no_corr,FHB
2MS16_4159-013,Experimental,HD_DON_no_corr,FHB
2MS16_4159-014,Experimental,HD_DON_no_corr,FHB
2MS16_4159-015,Experimental,HD_DON_no_corr,FHB
2MS16_4159-016,Experimental,HD_DON_no_corr,FHB
2MS16_4159-017,Experimental,HD_DON_no_corr,FHB
2MS16_4159-018,Experimental,HD_DON_no_corr,FHB
2MS16_4159-019,Experimental,HD_DON_no_corr,FHB
2MS16_4159-020,Experimental,HD_DON_no_corr,FHB
2MS16_4159-021,Experimental,HD_DON_no_corr,FHB
2MS16_4159-022,Experimental,HD_DON_no_corr,FHB
2MS16_4159-023,Experimental,HD_DON_no_corr,FHB
2MS16_4159-024,Experimental,HD_DON_no_corr,FHB
2MS16_4159-025,Experimental,HD_DON_no_corr,FHB
2MS16_4159-026,Experimental,HD_DON_no_corr,FHB
2MS16_4159-027,Experimental,HD_DON_no_corr,FHB
2MS16_4159-028,Experimental,HD_DON_no_corr,FHB
2MS16_4159-029,Experimental,HD_DON_no_corr,FHB
2MS16_4159-030,Experimental,HD_DON_no_corr,FHB
2MS16_4159-031,Experimental,HD_DON_no_corr,FHB
2MS16_4159-032,Experimental,HD_DON_no_corr,FHB
2MS16_4159-033,Experimental,HD_DON_no_corr,FHB
2MS16_4159-034,Experimental,HD_DON_no_corr,FHB
2MS16_4159-035,Experimental,HD_DON_no_corr,FHB
2MS16_4159-036,Experimental,HD_DON_no_corr,FHB
2MS16_4159-037,Experimental,HD_DON_no_corr,FHB
2MS16_4159-038,Experimental,HD_DON_no_corr,FHB
2MS16_4159-039,Experimental,HD_DON_no_corr,FHB
2MS16_4159-040,Experimental,HD_DON_no_corr,FHB
2MS16_4159-041,Experimental,HD_DON_no_corr,FHB
2MS16_4159-042,Experimental,HD_DON_no_corr,FHB
2MS16_4159-043,Experimental,HD_DON_no_corr,FHB
2MS16_4159-044,Experimental,HD_DON_no_corr,FHB
2MS16_4159-045,Experimental,HD_DON_no_corr,FHB
2MS16_4159-046,Experimental,HD_DON_no_corr,FHB
2MS16_4159-047,Experimental,HD_DON_no_corr,FHB
2MS16_4159-048,Experimental,HD_DON_no_corr,FHB
2MS16_4159-049,Experimental,HD_DON_no_corr,FHB
2MS16_4159-050,Experimental,HD_DON_no_corr,FHB
2MS16_4159-051,Experimental,HD_DON_no_corr,FHB
2MS16_4159-052,Experimental,HD_DON_no_corr,FHB
2MS16_4159-053,Experimental,HD_DON_no_corr,FHB
2MS16_4159-054,Experimental,HD_DON_no_corr,FHB
2MS16_4159-055,Experimental,HD_DON_no_corr,FHB
2MS16_4159-056,Experimental,HD_DON_no_corr,FHB
2MS16_4159-057,Experimental,HD_DON_no_corr,FHB
2MS16_4159-058,Experimental,HD_DON_no_corr,FHB
2MS16_4159-059,Experimental,HD_DON_no_corr,FHB
2MS16_4159-060,Experimental,HD_DON_no_corr,FHB
2MS16_4159-061,Experimental,HD_DON_no_corr,FHB
2MS16_4159-062,Experimental,HD_DON_no_corr,FHB
2MS16_4159-063,Experimental,HD_DON_no_corr,FHB
2MS16_4159-064,Experimental,HD_DON_no_corr,FHB
2MS16_4159-065,Experimental,HD_DON_no_corr,FHB
2MS16_4159-066,Experimental,HD_DON_no_corr,FHB
2MS16_4159-067,Experimental,HD_DON_no_corr,FHB
2MS16_4159-068,Experimental,HD_DON_no_corr,FHB
2MS16_4159-069,Experimental,HD_DON_no_corr,FHB
2MS16_4159-070,Experimental,HD_DON_no_corr,FHB
2MS16_4159-071,Experimental,HD_DON_no_corr,FHB
2MS16_4159-072,Experimental,HD_DON_no_corr,FHB
2MS16_4159-073,Experimental,HD_DON_no_corr,FHB
2MS16_4159-074,Experimental,HD_DON_no_corr,FHB
2MS16_4159-075,Experimental,HD_DON_no_corr,FHB
2MS16_4159-076,Experimental,HD_DON_no_corr,FHB
2MS16_4159-077,Experimental,HD_DON_no_corr,FHB
2MS16_4159-078,Experimental,HD_DON_no_corr,FHB
2MS16_4159-079,Experimental,HD_DON_no_corr,FHB
2MS16_4159-080,Experimental,HD_DON_no_corr,FHB
2MS16_4159-081,Experimental,HD_DON_no_corr,FHB
2MS16_4159-082,Experimental,HD_DON_no_corr,FHB
2MS16_4159-083,Experimental,HD_DON_no_corr,FHB
2MS16_4159-084,Experimental,HD_DON_no_corr,FHB
2MS16_4159-085,Experimental,HD_DON_no_corr,FHB
2MS16_4159-086,Experimental,HD_DON_no_corr,FHB
2MS16_4159-087,Experimental,HD_DON_no_corr,FHB
2MS16_4159-088,Experimental,HD_DON_no_corr,FHB
2MS16_4159-089,Experimental,HD_DON_no_corr,FHB
2MS16_4159-090,Experimental,HD_DON_no_corr,FHB
2MS16_4159-091,Experimental,HD_DON_no_corr,FHB
2MS16_4159-092,Experimental,HD_DON_no_corr,FHB
2MS16_4159-093,Experimental,HD_DON_no_corr,FHB
2MS16_4159-094,Experimental,HD_DON_no_corr,FHB
2MS16_4159-095,Experimental,HD_DON_no_corr,FHB
2MS16_4159-096,Experimental,HD_DON_no_corr,FHB
2MS16_4159-097,Experimental,HD_DON_no_corr,FHB
2MS16_4159-098,Experimental,HD_DON_no_corr,FHB
2MS16_4159-099,Experimental,HD_DON_no_corr,FHB
2MS16_4159-100,Experimental,HD_DON_no_corr,FHB
2MS16_4159-101,Experimental,HD_DON_no_corr,FHB
2MS16_4159-102,Experimental,HD_DON_no_corr,FHB
2MS16_4159-103,Experimental,HD_DON_no_corr,FHB
2MS16_4159-104,Experimental,HD_DON_no_corr,FHB
2MS16_4159-105,Experimental,HD_DON_no_corr,FHB
2MS16_4159-106,Experimental,HD_DON_no_corr,FHB
2MS16_4159-107,Experimental,HD_DON_no_corr,FHB
2MS16_4159-108,Experimental,HD_DON_no_corr,FHB
2MS16_4159-109,Experimental,HD_DON_no_corr,FHB
2MS16_4159-110,Experimental,HD_DON_no_corr,FHB
2MS16_4159-111,Experimental,HD_DON_no_corr,FHB
2MS16_4159-112,Experimental,HD_DON_no_corr,FHB
2MS16_4159-113,Experimental,HD_DON_no_corr,FHB
2MS16_4159-114,Experimental,HD_DON_no_corr,FHB
2MS16_4159-115,Experimental,HD_DON_no_corr,FHB
2MS16_4159-116,Experimental,HD_DON_no_corr,FHB
2MS16_4159-117,Experimental,HD_DON_no_corr,FHB
2MS16_4159-118,Experimental,HD_DON_no_corr,FHB
2MS16_4161-001,Experimental,DON_low_Vg,FHB
2MS16_4161-002,Experimental,DON_low_Vg,FHB
2MS16_4161-003,Experimental,DON_low_Vg,FHB
2MS16_4161-004,Experimental,DON_low_Vg,FHB
2MS16_4161-005,Experimental,DON_low_Vg,FHB
2MS16_4161-006,Experimental,DON_low_Vg,FHB
2MS16_4161-007,Experimental,DON_low_Vg,FHB
2MS16_4161-008,Experimental,DON_low_Vg,FHB
2MS16_4161-009,Experimental,DON_low_Vg,FHB
2MS16_4161-010,Experimental,DON_low_Vg,FHB
2MS16_4161-011,Experimental,DON_low_Vg,FHB
2MS16_4161-012,Experimental,DON_low_Vg,FHB
2MS16_4161-013,Experimental,DON_low_Vg,FHB
2MS16_4161-014,Experimental,DON_low_Vg,FHB
2MS16_4161-015,Experimental,DON_low_Vg,FHB
2MS16_4161-016,Experimental,DON_low_Vg,FHB
2MS16_4161-017,Experimental,DON_low_Vg,FHB
2MS16_4161-018,Experimental,DON_low_Vg,FHB
2MS16_4161-019,Experimental,DON_low_Vg,FHB
2MS16_4161-020,Experimental,DON_low_Vg,FHB
2MS16_4161-021,Experimental,DON_low_Vg,FHB
2MS16_4161-022,Experimental,DON_low_Vg,FHB
2MS16_4161-023,Experimental,DON_low_Vg,FHB
2MS16_4161-024,Experimental,DON_low_Vg,FHB
2MS16_4161-025,Experimental,DON_low_Vg,FHB
2MS16_4161-026,Experimental,DON_low_Vg,FHB
2MS16_4161-027,Experimental,DON_low_Vg,FHB
2MS16_4161-028,Experimental,DON_low_Vg,FHB
2MS16_4161-029,Experimental,DON_low_Vg,FHB
2MS16_4161-030,Experimental,DON_low_Vg,FHB
2MS16_4161-031,Experimental,DON_low_Vg,FHB
2MS16_4161-032,Experimental,DON_low_Vg,FHB
2MS16_4161-033,Experimental,DON_low_Vg,FHB
2MS16_4161-034,Experimental,DON_low_Vg,FHB
2MS16_4161-035,Experimental,DON_low_Vg,FHB
2MS16_4161-036,Experimental,DON_low_Vg,FHB
2MS16_4161-037,Experimental,DON_low_Vg,FHB
2MS16_4161-038,Experimental,DON_low_Vg,FHB
2MS16_4161-039,Experimental,DON_low_Vg,FHB
2MS16_4161-040,Experimental,DON_low_Vg,FHB
2MS16_4161-041,Experimental,DON_low_Vg,FHB
2MS16_4161-042,Experimental,DON_low_Vg,FHB
2MS16_4161-043,Experimental,DON_low_Vg,FHB
2MS16_4161-044,Experimental,DON_low_Vg,FHB
2MS16_4161-045,Experimental,DON_low_Vg,FHB
2MS16_4161-046,Experimental,DON_low_Vg,FHB
2MS16_4161-047,Experimental,DON_low_Vg,FHB
2MS16_4161-048,Experimental,DON_low_Vg,FHB
2MS16_4161-049,Experimental,DON_low_Vg,FHB
2MS16_4161-050,Experimental,DON_low_Vg,FHB
2MS16_4161-051,Experimental,DON_low_Vg,FHB
2MS16_4161-052,Experimental,DON_low_Vg,FHB
2MS16_4161-053,Experimental,DON_low_Vg,FHB
2MS16_4161-054,Experimental,DON_low_Vg,FHB
2MS16_4161-055,Experimental,DON_low_Vg,FHB
2MS16_4161-056,Experimental,DON_low_Vg,FHB
2MS16_4161-057,Experimental,DON_low_Vg,FHB
2MS16_4161-058,Experimental,DON_low_Vg,FHB
2MS16_4161-059,Experimental,DON_low_Vg,FHB
2MS16_4161-060,Experimental,DON_low_Vg,FHB
2MS16_4161-061,Experimental,DON_low_Vg,FHB
2MS16_4161-062,Experimental,DON_low_Vg,FHB
2MS16_4161-063,Experimental,DON_low_Vg,FHB
2MS16_4161-064,Experimental,DON_low_Vg,FHB
2MS16_4161-065,Experimental,DON_low_Vg,FHB
2MS16_4161-066,Experimental,DON_low_Vg,FHB
