Line,Purpose,Trait,Field_experiment
2MS16_4129-107,Experimental,HD_DON_no_corr,FHB
2MS16_4129-108,Experimental,HD_DON_no_corr,FHB
2MS16_4129-109,Experimental,HD_DON_no_corr,FHB
2MS16_4129-110,Experimental,HD_DON_no_corr,FHB
2MS16_4129-111,Experimental,HD_DON_no_corr,FHB
2MS16_4129-112,Experimental,HD_DON_no_corr,FHB
2MS16_4129-113,Experimental,HD_DON_no_corr,FHB
2MS16_4129-114,Experimental,HD_DON_no_corr,FHB
2MS16_4129-115,Experimental,HD_DON_no_corr,FHB
2MS16_4129-116,Experimental,HD_DON_no_corr,FHB
2MS16_4129-117,Experimental,HD_DON_no_corr,FHB
2MS16_4129-118,Experimental,HD_DON_no_corr,FHB
2MS16_4130-001,Experimental,HD_DON_no_corr,FHB
2MS16_4130-002,Experimental,HD_DON_no_corr,FHB
2MS16_4130-003,Experimental,HD_DON_no_corr,FHB
2MS16_4130-004,Experimental,HD_DON_no_corr,FHB
2MS16_4130-005,Experimental,HD_DON_no_corr,FHB
2MS16_4130-006,Experimental,HD_DON_no_corr,FHB
2MS16_4130-007,Experimental,HD_DON_no_corr,FHB
2MS16_4130-008,Experimental,HD_DON_no_corr,FHB
2MS16_4130-009,Experimental,HD_DON_no_corr,FHB
2MS16_4130-010,Experimental,HD_DON_no_corr,FHB
2MS16_4130-011,Experimental,HD_DON_no_corr,FHB
2MS16_4130-012,Experimental,HD_DON_no_corr,FHB
2MS16_4130-013,Experimental,HD_DON_no_corr,FHB
2MS16_4130-014,Experimental,HD_DON_no_corr,FHB
2MS16_4130-015,Experimental,HD_DON_no_corr,FHB
2MS16_4130-016,Experimental,HD_DON_no_corr,FHB
2MS16_4130-017,Experimental,HD_DON_no_corr,FHB
2MS16_4130-018,Experimental,HD_DON_no_corr,FHB
2MS16_4130-019,Experimental,HD_DON_no_corr,FHB
2MS16_4130-020,Experimental,HD_DON_no_corr,FHB
2MS16_4130-021,Experimental,HD_DON_no_corr,FHB
2MS16_4130-022,Experimental,HD_DON_no_corr,FHB
2MS16_4130-023,Experimental,HD_DON_no_corr,FHB
2MS16_4130-024,Experimental,HD_DON_no_corr,FHB
2MS16_4130-025,Experimental,HD_DON_no_corr,FHB
2MS16_4130-026,Experimental,HD_DON_no_corr,FHB
2MS16_4130-027,Experimental,HD_DON_no_corr,FHB
2MS16_4130-028,Experimental,HD_DON_no_corr,FHB
2MS16_4130-029,Experimental,HD_DON_no_corr,FHB
2MS16_4130-030,Experimental,HD_DON_no_corr,FHB
2MS16_4130-031,Experimental,HD_DON_no_corr,FHB
